id,title,year,authors,venue,entityUrl
416,WebView materialization,2000,"Alexandros Labrinidis, Nick Roussopoulos",International Conference on Management of Data,335430
417,NiagaraCQ: a scalable continuous query system for Internet databases,2000,"Jianjun Chen, David J. DeWitt, Feng Tian, Yuan Wang",International Conference on Management of Data,335432
418,The onion technique: indexing for linear optimization queries,2000,"Yuan-Chi Chang, Lawrence Bergman, Vittorio Castelli, Chung-Sheng Li, Ming-Ling Lo, John R. Smith",International Conference on Management of Data,335433
419,On effective multi-dimensional indexing for strings,2000,"H. V. Jagadish, Nick Koudas, Divesh Srivastava",International Conference on Management of Data,335434
420,A data model and data structures for moving objects databases,2000,"Luca Forlizzi, Ralf Hartmut G&#252;ting, Enrico Nardelli, Markus Schneider",International Conference on Management of Data,335426
421,Indexing the positions of continuously moving objects,2000,"Simonas &#352;altenis, Christian S. Jensen, Scott T. Leutenegger, Mario A. Lopez",International Conference on Management of Data,335427
422,Adaptive multi-stage distance join processing,2000,"Hyoseop Shin, Bongki Moon, Sukho Lee",International Conference on Management of Data,335428
423,Finding replicated Web collections,2000,"Junghoo Cho, Narayanan Shivakumar, Hector Garcia-Molina",International Conference on Management of Data,335429
424,A chase too far?,2000,"Lucian Popa, Alin Deutsch, Arnaud Sahuguet, Val Tannen",International Conference on Management of Data,335421
425,WSQ/DSQ: a practical approach for combined querying of databases and the Web,2000,"Roy Goldman, Jennifer Widom",International Conference on Management of Data,335422
426,A framework for expressing and combining preferences,2000,"Rakesh Agrawal, Edward L. Wimmers",International Conference on Management of Data,335423
427,Microsoft TerraServer: a spatial data warehouse,2000,"Tom Barclay, Jim Gray, Don Slutz",International Conference on Management of Data,335424
428,Towards self-tuning data placement in parallel database systems,2000,"Mong Li Lee, Masaru Kitsuregawa, Beng Chin Ooi, Kian-Lee Tan, Anirban Mondal",International Conference on Management of Data,335416
429,LH*RS: a high-availability scalable distributed data structure using Reed Solomon Codes,2000,"Witold Litwin, Thomas Schwarz",International Conference on Management of Data,335418
430,Efficient and extensible algorithms for multi query optimization,2000,"Prasan Roy, S. Seshadri, S. Sudarshan, Siddhesh Bhobe",International Conference on Management of Data,335419
431,Eddies: continuously adaptive query processing,2000,"Ron Avnur, Joseph M. Hellerstein",International Conference on Management of Data,335420
432,DLFM: a transactional resource manager,2000,"Hui-I Hsiao, Inderpal Narang",International Conference on Management of Data,335461
433,Going beyond personalization: rule engines at work,2000,Eric Kintzer,International Conference on Management of Data,335459
434,Indexing images in Oracle8i,2000,"Melliyal Annamalai, Rajiv Chopra, Samuel DeFazio, Susan Mavris",International Conference on Management of Data,335463
435,Online index rebuild,2000,"Nagavamsi Ponnekanti, Hanuma Kodavalla",International Conference on Management of Data,335462
436,Maintenance of cube automatic summary tables,2000,"Wolfgang Lehner, Richard Sidle, Hamid Pirahesh, Roberta Wolfgang Cochrane",International Conference on Management of Data,335454
437,Benchmarking queries over trees: learning the hard truth the hard way,2000,"Fanny Wattez, Sophie Cluet, V&#233;ronique Benzaken, Guy Ferran, Christian Fiegel",International Conference on Management of Data,335452
438,Expressing business rules,2000,Ronald G. Ross,International Conference on Management of Data,335457
439,Challenges in automating declarative business rules to enable rapid business response,2000,Val Huber,International Conference on Management of Data,335455
440,Making B+- trees cache conscious in main memory,2000,"Jun Rao, Kenneth A. Ross",International Conference on Management of Data,335449
441,Approximating multi-dimensional aggregate range queries over real attributes,2000,"Dimitrios Gunopulos, George Kollios, Vassilis J. Tsotras, Carlotta Domeniconi",International Conference on Management of Data,335448
442,"Counting, enumerating, and sampling of execution plans in a cost-based query optimizer",2000,"Florian Waas, C&#233;sar Galindo-Legaria",International Conference on Management of Data,335451
443,Congressional samples for approximate answering of group-by queries,2000,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",International Conference on Management of Data,335450
444,Efficient algorithms for mining outliers from large data sets,2000,"Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,335437
445,Efficient and cost-effective techniques for browsing and indexing large video databases,2000,"JungHwan Oh, Kien A. Hua",International Conference on Management of Data,335436
446,Designing and mining multi-terabyte astronomy archives: the Sloan Digital Sky Survey,2000,"Alexander S. Szalay, Peter Z. Kunszt, Ani Thakar, Jim Gray, Don Slutz, Robert J. Brunner",International Conference on Management of Data,335439
447,Privacy-preserving data mining,2000,"Rakesh Agrawal, Ramakrishnan Srikant",International Conference on Management of Data,335438
448,Using quantitative information for efficient association rule generation,2000,"B. P&#244;ssas, M. Carvalho, R. Resende, W. Meita, Jr.",ACM SIGMOD Record,369278
449,Object database evolution using separation of concerns,2000,"Awais Rashid, Peter Sawyer",ACM SIGMOD Record,369281
450,Report on the VLDB workshop on technologies for e-services (TES),2000,"Fabio Casati, Umesh Dayal, Ming-Chien Shan",ACM SIGMOD Record,369276
451,Research and practice in federated information systems,2000,"W. Hasselbring, W.-J. van den Heuvel, G. J. Houben, R.-D. Kutsche, B. Rieger, M. Roantree, K. Subieta",ACM SIGMOD Record,369277
452,Moving up the food chain: supporting e-commerce applications on databases,2000,Anant Jhingran,ACM SIGMOD Record,369287
453,A vision for management of complex models,2000,"Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger",ACM SIGMOD Record,369289
454,Cache invalidation scheme for mobile computing systems with real-time data,2000,"Joe Chun-Hung Yuen, Edward Chan, Kam-Yiu Lam, H. W. Leung",ACM SIGMOD Record,369282
455,Theory of answering queries using views,2000,Alon Y. Halevy,ACM SIGMOD Record,369284
456,Metadata standards for data warehousing: open information model vs. common warehouse metadata,2000,"Thomas Vetterli, Anca Vaduva, Martin Staudt",ACM SIGMOD Record,362138
457,Comparative analysis of six XML schema languages,2000,"Dongwon Lee, Wesley W. Chu",ACM SIGMOD Record,362140
458,Constraint databases: a tutorial introduction,2000,Jan Van den Bussche,ACM SIGMOD Record,362136
459,The implementation and performance of compressed databases,2000,"Till Westmann, Donald Kossmann, Sven Helmer, Guido Moerkotte",ACM SIGMOD Record,362137
460,A new approach to developing and implementing eager database replication protocols,2000,"Bettina Kemme, Gustavo Alonso",ACM Transactions on Database Systems (TODS),363955
461,Theory of dependence values,2000,Rosa Meo,ACM Transactions on Database Systems (TODS),363956
462,Knowledge discovery in data warehouses,2000,Themistoklis Palpanas,ACM SIGMOD Record,362142
463,An algebraic approach to static analysis of active database rules,2000,"Elena Baralis, Jennifer Widom",ACM Transactions on Database Systems (TODS),363954
464,SQL and management of external data,2001,"Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz, Kathy Zeidenstein",ACM SIGMOD Record,373709
465,Report on the fourth international conference on flexible query answering systems (FQAS 2000),2001,"Patrick Bosc, Amihai Motro, Gabriella Pasi",ACM SIGMOD Record,373708
466,XML and information retrieval: a SIGIR 2000 workshop,2001,"David Carmel, Yoelle Maarek, Aya Soffer",ACM SIGMOD Record,373705
467,Report on XEWA-00: the XML enabled wide-area searches for bioinformatics workshop,2001,Terence Critchlow,ACM SIGMOD Record,373699
468,Iceberg-cube computation with PC clusters,2001,"Raymond T. Ng, Alan Wagner, Yu Yin",International Conference on Management of Data,375666
469,On computing correlated aggregates over continual data streams,2001,"Johannes Gehrke, Flip Korn, Divesh Srivastava",International Conference on Management of Data,375665
470,Efficient computation of Iceberg cubes with complex measures,2001,"Jiawei Han, Jian Pei, Guozhu Dong, Ke Wang",International Conference on Management of Data,375664
471,The Clio project: managing heterogeneity,2001,"Ren&#233;e J. Miller, Mauricio A. Hern&#225;ndez, Laura M. Haas, Lingling Yan, C. T. Howard Ho, Ronald Fagin, Lucian Popa",ACM SIGMOD Record,373713
472,Querying multi-dimensional data indexed using the Hilbert space-filling curve,2001,"J. K. Lawder, P. J. H. King",ACM SIGMOD Record,373678
473,Re-designing distance functions and distance-based applications for high dimensional data,2001,Charu C. Aggarwal,ACM SIGMOD Record,373638
474,EIHA?!?: deploying Web and WAP services using XML technology,2001,"Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu",ACM SIGMOD Record,373631
475,New TPC benchmarks for decision support and web commerce,2000,"Meikel Poess, Chris Floyd",ACM SIGMOD Record,369291
476,Constraints for semistructured data and XML,2001,"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",ACM SIGMOD Record,373697
477,Towards knowledge-based digital libraries,2001,"Ling Feng, Marfred A. Jeusfeld, Jeroen Hoppenbrouwers",ACM SIGMOD Record,373691
478,Quality of service in multimedia digital libraries,2001,"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Sa&#239;d Hacid",ACM SIGMOD Record,373684
479,Infosphere project: system support for information flow applications,2001,"Calton Pu, Karsten Schwan, Jonathan Walpole",ACM SIGMOD Record,373680
480,Report on NGITS'99: The fourth international workshop on next generation information technologies and systems,1999,Opher Etzion,ACM SIGMOD Record,344820
481,Comparative analysis of five XML query languages,2000,"Angela Bonifati, Stefano Ceri",ACM SIGMOD Record,344822
482,Design and management of data warehouses report on the DMDW'99 workshop,1999,"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",ACM SIGMOD Record,344825
483,Beyond document similarity: understanding value-based search and browsing technologies,2000,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record,344828
484,Timer-driven database triggers and alerters: semantics and a challenge,1999,"Eric N. Hanson, Lloyd X. Noronha",ACM SIGMOD Record,344839
485,Diluting ACID,1999,"Tim Kempster, Colin Stirling, Peter Thanisch",ACM SIGMOD Record,344843
486,"Some remarks on variable independence, closure, and orthographic dimension in constraint databases",1999,Leonid Libkin,ACM SIGMOD Record,344850
487,On views and XML,1999,Serge Abiteboul,ACM SIGMOD Record,344853
488,The MLPQ/GIS constraint database system,2000,"Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang",International Conference on Management of Data,336590
489,Evolution and change in data management - issues and directions,2000,"John F. Roddick, Lina Al-Jadir, Leopoldo Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi M&#228;nnist&#246;, Enric Mayol, Lex Wedemeijer",ACM SIGMOD Record,344789
490,Generating dynamic content at database-backed web servers: cgi-bin vs. mod_perl,2000,"Alexandros Labrinidis, Nick Roussopoulos",ACM SIGMOD Record,344794
491,Hierarchies and relative operators in the OLAP environment,2000,"Elaheh Pourabbas, Maurizio Rafanelli",ACM SIGMOD Record,344799
492,An optimisation scheme for coalesce/valid time selection operator sequences,2000,Costas Vassilakis,ACM SIGMOD Record,344803
493,Incremental maintenance of recursive views using relational calculus/SQL,2000,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record,344808
494,An extensible compressor for XML data,2000,"Hartmut Liefke, Dan Suciu",ACM SIGMOD Record,344815
495,SQL standardization: the next steps,2000,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,344819
496,Emancipating instances from the tyranny of classes in information modeling,2000,"Jeffrey Parsons, Yair Wand",ACM Transactions on Database Systems (TODS),357778
497,Tracing the lineage of view data in a warehousing environment,2000,"Yingwei Cui, Jennifer Widom, Janet L. Wiener",ACM Transactions on Database Systems (TODS),357777
498,Report on ISDO '00: the CAiSE*00 workshop on infrastructures for dynamic business-to-business service outsourcing,2000,"Heiko Ludwig, Paul Grefen",ACM SIGMOD Record,362094
499,Workshop on performance and architecture of web servers,2000,"Krishna Kant, Prasant Mohapatra",ACM SIGMOD Record,362091
500,Provision of market services for eCo compliant electronic marketplaces,2000,"Sena Arpinar, Asuman Dogac",ACM SIGMOD Record,362098
501,Report on second international workshop on advanced issues of E-commerce and Web-based information systems,2000,"Kun-Lung Wu, Philip S. Yu",ACM SIGMOD Record,362096
502,Generating spatiotemporal datasets on the WWW,2000,"Yannis Theodoridis, Mario A. Nascimento",ACM SIGMOD Record,362104
503,Spatial operators,2000,"Eliseo Clementini, Paolino Di Felice",ACM SIGMOD Record,362101
504,Practical lessons in supporting large-scale computational science,1999,"Ron Musick, Terence Critchlow",ACM SIGMOD Record,344860
505,FinTime: a financial time series benchmark,1999,"Kaippallimalil J. Jacob, Dennis Shasha",ACM SIGMOD Record,344857
506,A survey of logical models for OLAP databases,1999,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record,344869
507,SQLJ  Part 1: SQL routines using the Java programming language,1999,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,344864
508,Iterative dynamic programming: a new class of query optimization algorithms,2000,"Donald Kossmann, Konrad Stocker",ACM Transactions on Database Systems (TODS),352982
509,A foundation for representing and querying moving objects,2000,"Ralf Hartmut G&#252;ting, Michael H. B&#246;hlen, Martin Erwig, Christian S. Jensen, Nikos A. Lorentzos, Markus Schneider, Michalis Vazirgiannis",ACM Transactions on Database Systems (TODS),352963
510,A cost model for query processing in high dimensional data spaces,2000,Christian B&#246;hm,ACM Transactions on Database Systems (TODS),357776
511,A model for compound type changes encountered in schema evolution,2000,Barbara Staudt Lerner,ACM Transactions on Database Systems (TODS),352983
512,Book reviews,2002,Karl Aberer,ACM SIGMOD Record,601864
513,Book review column,2002,Karl Aberer,ACM SIGMOD Record,601865
514,Clustering validity checking methods: part II,2002,"Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis",ACM SIGMOD Record,601862
515,A study on the management of semantic transaction for efficient data retrieval,2002,"Shi Ming Huang, Irene Kwan, Chih He Li",ACM SIGMOD Record,601863
516,Database principles,2002,Leonid Libkin,ACM SIGMOD Record,601868
517,Automata theory for XML researchers,2002,Frank Neven,ACM SIGMOD Record,601869
518,Introduction to constraint databases,2002,Bart Kuijpers,ACM SIGMOD Record,601866
519,Foundations of statistical natural language processing,2002,Gerhard Weikum,ACM SIGMOD Record,601867
520,Industry perspectives,2002,Len Seligman,ACM SIGMOD Record,601872
521,Toward autonomic computing with DB2 universal database,2002,"Sam S. Lightstone, Guy Lohman, Danny Zilio",ACM SIGMOD Record,601873
522,Distinguished DB profiles,2002,Marianne Winslett,ACM SIGMOD Record,601870
523,"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more",2002,Marianne Winslett,ACM SIGMOD Record,601871
524,Standards,2002,Jim Melton,ACM SIGMOD Record,601876
525,SQL/MED: a status report,2002,"Jim Melton, Jan Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz",ACM SIGMOD Record,601877
526,Influential papers,2002,Ken Ross,ACM SIGMOD Record,601874
527,Reminiscences on influential papers,2002,"Kenneth A. Ross, Theodore Johnson, Richard Thomas Snodgrass",ACM SIGMOD Record,601875
528,Top-k selection queries over relational databases: Mapping strategies and performance evaluation,2002,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",ACM Transactions on Database Systems (TODS),568519
529,Combining fuzzy information: an overview,2002,Ronald Fagin,ACM SIGMOD Record,565143
530,Database principles,2002,Leonid Libkin,ACM SIGMOD Record,565142
531,SQL/XML is making good progress,2002,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,565141
532,Searching for dependencies at multiple abstraction levels,2002,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS),581752
533,Editorial directons,1995,Won Kim,ACM Transactions on Database Systems (TODS),569785
534,Editorial: Charter and scope,1995,Won Kim,ACM Transactions on Database Systems (TODS),569784
535,Locally adaptive dimensionality reduction for indexing large time series databases,2002,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",ACM Transactions on Database Systems (TODS),568520
536,Searching in metric spaces with user-defined and approximate distances,2002,"Paolo Ciaccia, Marco Patella",ACM Transactions on Database Systems (TODS),582412
537,Understanding the global semantics of referential actions using logic rules,2002,"Wolfgang May, Bertram Lud&#228;scher",ACM Transactions on Database Systems (TODS),582411
538,Cost models for overlapping and multiversion structures,2002,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS),581754
539,Fast incremental maintenance of approximate histograms,2002,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",ACM Transactions on Database Systems (TODS),581753
540,The cougar approach to in-network query processing in sensor networks,2002,"Yong Yao, Johannes Gehrke",ACM SIGMOD Record,601861
541,Articles,2002,Avigdor Gal,ACM SIGMOD Record,601860
542,Treasurer's message,2002,Joachim Hammer,ACM SIGMOD Record,601859
543,SilkRoute: A framework for publishing relational data in XML,2002,"Mary Fern&#225;ndez, Yana Kadiyska, Dan Suciu, Atsuyuki Morishima, Wang-Chiew Tan",ACM Transactions on Database Systems (TODS),582413
544,The Ecobase project: database and web technologies for environmental information systems,2001,"Luc Bouganim, Maria Claudia Cavalcanti, Fran&#231;oise Fabret, Maria Luiza Campos, Fran&#231;ois Llirbat, Marta Mattoso, Rubens Melo, Ana Maria Moura, Esther Pacitti, Fabio Porto, Margareth Simoes, Eric Simon, Asterio Tanaka, Patrick Valduriez",ACM SIGMOD Record,603879
545,Data analysis and mining in the life sciences,2001,Nam Huyn,ACM SIGMOD Record,603880
546,Influential papers,2001,Ken Ross,ACM SIGMOD Record,603881
547,Reminiscences on influential papers,2001,Kenneth A. Ross,ACM SIGMOD Record,603882
548,Continuous queries over data streams,2001,"Shivnath Babu, Jennifer Widom",ACM SIGMOD Record,603884
549,Career forum,2001,Alexandros Labrinidis,ACM SIGMOD Record,603885
550,Career-enhancing services at SIGMOD online,2001,"Alexandros Labrinidis, Alberto O. Mendelzon",ACM SIGMOD Record,603886
551,Reminiscences on Influential Papers,2001,Kenneth A. Ross,ACM SIGMOD Record,604262
552,Special section on data mining for intrusion detection and threat analysis,2001,Daniel Barbar&#225;,ACM SIGMOD Record,604265
553,Special issue on data mining for intrusion detection and threat analysis,2001,Daniel Barbar&#225;,ACM SIGMOD Record,604266
554,Data mining-based intrusion detectors: an overview of the columbia IDS project,2001,"Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin",ACM SIGMOD Record,604267
555,ADAM: a testbed for exploring the use of data mining in intrusion detection,2001,"Daniel Barbar&#225;, Julia Couto, Sushil Jajodia, Ningning Wu",ACM SIGMOD Record,604268
556,Detection and classification of intrusions and faults using sequences of system calls,2001,"Jo&#227;o B. D. Cabrera, Lundy Lewis, Raman K. Mehra",ACM SIGMOD Record,604269
557,Mining system audit data: opportunities and challenges,2001,"Wenke Lee, Wei Fan",ACM SIGMOD Record,604270
558,Using unknowns to prevent discovery of association rules,2001,"Y&#252;cel Saygin, Vassilios S. Verykios, Chris Clifton",ACM SIGMOD Record,604271
559,Mining e-mail content for author identification forensics,2001,"O. de Vel, A. Anderson, M. Corney, G. Mohay",ACM SIGMOD Record,604272
560,Interviewing during a tight job market,2002,"Zachary G. Ives, Qiong Luo",ACM SIGMOD Record,601879
561,Career forum,2002,Alexandros Labrinidis,ACM SIGMOD Record,601878
562,Database research at the University of Illinois at Urbana-Champaign,2002,"M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou",ACM SIGMOD Record,601881
563,Research centers,2002,Amit Sheth,ACM SIGMOD Record,601880
564,Reminiscences on Influential Papers,2000,Kenneth A. Ross,ACM SIGMOD Record,602302
565,Research activities in database management and information retrieval at University of Illinois at Chicago,2002,"Isabel Cruz, Ashfaq Khokhar, Bing Liu, Prasad Sistla, Ouri Wolfson, Clement Yu",ACM SIGMOD Record,601882
566,XQuery formal semantics state and challenges,2001,Peter Fankhauser,ACM SIGMOD Record,603870
567,Advanced XML data processing: guest editor's introduction,2001,Karl Aberer,ACM SIGMOD Record,603869
568,Why and how to benchmark XML databases,2001,"Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse",ACM SIGMOD Record,603872
569,A general technique for querying XML documents using a relational database system,2001,"Jayavel Shanmugasundaram, Eugene Shekita, Jerry Kiernan, Rajasekar Krishnamurthy, Efstratios Viglas, Jeffrey Naughton, Igor Tatarinov",ACM SIGMOD Record,603871
570,On database theory and XML,2001,Dan Suciu,ACM SIGMOD Record,603874
571,Wrapping web data into XML,2001,"Wei Han, David Buttler, Calton Pu",ACM SIGMOD Record,603873
572,"Preservation of digital data with self-validating, self-instantiating knowledge-based archives",2001,"Bertram Lud&#228;scher, Richard Marciano, Reagan Moore",ACM SIGMOD Record,603876
573,XML document versioning,2001,"Shu Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo",ACM SIGMOD Record,603875
574,The evolution of effective B-tree: page organization and techniques: a personal account,2001,David Lomet,ACM SIGMOD Record,603878
575,Articles,2001,Avigdor Gal,ACM SIGMOD Record,603877
576,The aditi deductive database system,1994,"Jayen Vaghani, Kotagiri Ramamohanarao, David B. Kemp, Zoltan Somogyi, Peter J. Stuckey, Tim S. Leask, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615197
577,Efficiently instantiating view-objects from remote relational databases,1994,"Byung Suk Lee, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615200
578,The CORAL deductive system,1994,"Raghu Ramakrishnan, Divesh Srivastava, S. Sudarshan, Praveen Seshadri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615195
579,DECLARE and SDS: early efforts to commercialize deductive database technology,1994,"Werner Kie&#223;ling, Helmut Schmidt, Werner Strau&#223;, Gerhard D&#252;nzinger",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615196
580,An introduction to deductive database languages and systems,1994,"Kotagiri Ramamohanarao, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615193
581,"The glue-nail deductive database system: design, implementation, and evaluation",1994,"Marcia A. Derr, Shinichi Morishita, Geoffrey Phipps",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615194
582,Versioning and configuration management in an object-oriented data model,1994,Edward Sciore,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615189
583,Special issue on prototypes of deductive database systems,1994,K. Ramamohanarao,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615192
584,Qualitative representation of spatial knowledge in two-dimensional space,1994,"Dimitris Papadias, Timos Sellis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615209
585,The TV-tree: an index structure for high-dimensional data,1994,"King Ip Lin, H. V. Jagadish, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615210
586,Management of multidimensional discrete data,1994,Peter Baumann,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615207
587,A semantic modeling approach for image retrieval by content,1994,"Wesley W. Chu, Ion T. Ieong, Ricky K. Taira",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615208
588,Special issue on spatial database systems,1994,H. J. Schek,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615205
589,An introduction to spatial database systems,1994,Ralf Hartmut G&#252;ting,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615206
590,The demarcation protocol: a technique for maintaining constraints in distributed database systems,1994,"Daniel Barbar&#225;-Mill&#225;, Hector Garcia-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615201
591,Index configuration in object-oriented databases,1994,Elisa Bertino,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615202
592,SQL multimedia and application packages (SQL/MM),2001,"Jim Melton, Andrew Eisenberg",ACM SIGMOD Record,604280
593,Standards,2001,Andrew Eisenberg,ACM SIGMOD Record,604279
594,Describing semistructured data,2001,Luca Cardelli,ACM SIGMOD Record,604278
595,Database principles,2001,Leonid Libkin,ACM SIGMOD Record,604277
596,Information warfare and security,2001,H. V. Jagadish,ACM SIGMOD Record,604276
597,"Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery",2001,Marc H. Scholl,ACM SIGMOD Record,604275
598,Book review column,2001,Karl Aberer,ACM SIGMOD Record,604274
599,Book reviews,2001,Karl Aberer,ACM SIGMOD Record,604273
600,A pattern-based object calculus,1994,"Nabil Kamel, Ping Wu, Stanley Y. W. Su",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615188
601,Dynamic maintenance of data distribution for selectivity estimation,1994,"Kyu Young Whang, Sang Wook Kim, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615187
602,Chronological scheduling of transactions with temporal dependencies,1994,"Dimitrios Georgakopoulos, Marek Rusinkiewicz, Witold Litwin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615186
603,Research in multi-organizational processes and semantic information brokering at the LSDIS lab,2001,"Amit Sheth, John Miller, Krys Kochut, Budak Arpinar",ACM SIGMOD Record,604286
604,Research centers,2001,Amit Sheth,ACM SIGMOD Record,604285
605,On the academic interview circuit: an end-to-end discussion,2001,U&#287;ur &#199;etintemel,ACM SIGMOD Record,604284
606,Career forum,2001,Alexandros Labrinidis,ACM SIGMOD Record,604283
607,Java support for data-intensive systems: experiences building the telegraph dataflow system,2001,"Mehul A. Shah, Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein",ACM SIGMOD Record,604282
608,Special section on semantic web and data management,2002,"Robert Meersman, Amit Sheth",ACM SIGMOD Record,637412
609,Data modelling versus ontology engineering,2002,"Peter Spyns, Robert Meersman, Mustafa Jarrar",ACM SIGMOD Record,637413
610,Methodology for development and employment of ontology based knowledge management applications,2002,"York Sure, Steffen Staab, Rudi Studer",ACM SIGMOD Record,637414
611,A conceptual architecture for semantic web enabled web services,2002,"Christoph Bussler, Dieter Fensel, Alexander Maedche",ACM SIGMOD Record,637415
612,Sleepers and workaholics: caching strategies in mobile environments (extended version),1995,"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615236
613,AlphaSort: a cache-sensitive parallel external sort,1995,"Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615237
614,QuickStore: a high performance mapped object store,1995,"Seth J. White, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615238
615,Estimating page fetches for index scans with finite LRU buffers,1995,"Arun Swami, K. Bernhard Schiefer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615239
616,Emergent semantics and the multimedia semantic web,2002,"W. I. Grosky, D. V. Sreenath, F. Fotouhi",ACM SIGMOD Record,637420
617,Querying multiple bioinformatics information sources: can semantic web research help?,2002,"David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Calton Pu, Daniel Rocco, Li Xiong",ACM SIGMOD Record,637421
618,The Grid: an application of the semantic web,2002,"Carole Goble, David De Roure",ACM SIGMOD Record,637422
619,Book reviews,2002,Karl Aberer,ACM SIGMOD Record,637423
620,"Agents, trust, and information access on the semantic web",2002,"Tim Finin, Anupam Joshi",ACM SIGMOD Record,637416
621,Conceptual model of web service reputation,2002,"E. Michael Maximilien, Munindar P. Singh",ACM SIGMOD Record,637417
622,The &#961; operator: discovering and ranking associations on the semantic web,2002,"Kemafor Anyanwu, Amit Sheth",ACM SIGMOD Record,637418
623,A framework for semantic gossiping,2002,"Karl Aberer, Philippe Cudr&#233;-Mauroux, Manfred Hauswirth",ACM SIGMOD Record,637419
624,Updating knowledge bases while maintaining their consistency,1995,"Ernest Teniente, Antoni Oliv&#233;",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615220
625,Data model for extensible support of explicit relationships in design databases,1995,"Joan Peckham, Bonnie MacKellar, Michael Doherty",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615219
626,InterViso: dealing with the complexity of federated database access,1995,"Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615222
627,Realm-based spatial data types: the ROSE algebra,1995,"Ralf Hartmut G&#252;ting, Markus Schneider",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,615221
