id,https://www.scads.de/movieBenchmark/ontology/primaryProfessions,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/birthYear,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
1592,actor,Daniel Stemer,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1846099,,,,,,,,,
1593,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt3105532,0,"Documentary,Talk-Show",2013-01-01,,Docventures,Docventures,,,
1594,"writer,miscellaneous,actor",Marc Sheffler,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0790820,,,,,,,,,
1595,"actor,writer",Dehl Berti,1921-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0078046,,,,,,,,,
1596,actor,Michael Conrad,1925-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0175700,,,,,,,,,
1597,"actor,writer",John Beradino,1917-01-01,1996-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0073217,,,,,,,,,
1598,"producer,writer,actor",Danny Breen,1950-01-01,2017-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0106728,,,,,,,,,
1599,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520139,0,Adventure,1962-01-01,,Pat Hand,Pat Hand,3,1,
1600,"producer,production_manager,assistant_director",Inti Herrera,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1109453,,,,,,,,,
1601,"actor,director,writer",Robert Bockstael,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0090720,,,,,,,,,
1602,actress,Patty Ann Gerrity,1948-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0314770,,,,,,,,,
1603,"writer,soundtrack,music_department",Lawrence Edward Watkin,1901-01-01,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0914245,,,,,,,,,
1604,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505685,0,Adventure,1961-01-01,60,The Jonah Stone,The Jonah Stone,24,2,
1605,"actress,miscellaneous",Sarah Evans,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1131132,,,,,,,,,
1606,"miscellaneous,actress",Meg Watters,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1656134,,,,,,,,,
1607,"actor,director,music_department",John Clive,1933-01-01,2012-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0166979,,,,,,,,,
1608,actor,Steve Liebmann,1944-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1183064,,,,,,,,,
1609,actress,Ingrid Resch,1935-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0720184,,,,,,,,,
1610,actor,Edwin Hodgeman,1935-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0388122,,,,,,,,,
1611,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0966033,0,Documentary,2004-01-01,48,Death in Slaughter Stream,Death in Slaughter Stream,8,1,
1612,actor,Alexander Hegarth,1923-01-01,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0373668,,,,,,,,,
1613,"writer,actress,producer",Sally Gray,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0336932,,,,,,,,,
1614,actor,Thomas Gomez,1905-01-01,1971-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0327089,,,,,,,,,
1615,writer,Margaret Laurence,1926-01-01,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0491129,,,,,,,,,
1616,actor,Henry Brown,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0112923,,,,,,,,,
1617,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630815,0,Drama,1957-01-01,30,A Dollar's Worth,A Dollar's Worth,1,5,
1618,"producer,writer,actor",Sean Whitesell,1963-01-01,2015-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0925878,,,,,,,,,
1619,"actor,miscellaneous",Vladimir Sokoloff,1889-01-01,1962-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0812453,,,,,,,,,
1620,"actor,producer,director",Larry Hagman,1931-01-01,2012-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001306,,,,,,,,,
1621,"actor,soundtrack,miscellaneous",Roger Dumas,1932-01-01,2016-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0241484,,,,,,,,,
1622,actor,Philip Bourneuf,1908-01-01,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0100109,,,,,,,,,
1623,"director,writer,producer",Michael Cumming,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0191832,,,,,,,,,
1624,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505648,0,Adventure,1961-01-01,60,Man Eater,Man Eater,17,2,
1625,"actor,director,writer",Lon Chaney,1883-01-01,1930-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0151606,,,,,,,,,
1626,,Andrew Hunt,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3092102,,,,,,,,,
1627,actor,Steven Keats,1945-01-01,1994-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0444198,,,,,,,,,
1628,"writer,producer,actor",Jay Tarses,1939-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0850695,,,,,,,,,
1629,"editor,editorial_department,sound_department",Albena Katerinska,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0441227,,,,,,,,,
1630,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630987,0,Drama,1956-01-01,30,The End of the Week,The End of the Week,12,4,
1631,"actor,miscellaneous",Patrick Westwood,1924-01-01,2017-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0923101,,,,,,,,,
1632,,Andy Gertsner,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3361486,,,,,,,,,
1633,,Kristin Stanford,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3097020,,,,,,,,,
1634,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6950380,0,"Animation,Comedy,Family",2016-01-01,,Happy Ordinary Day,Happy Ordinary Day,19,1,
1635,"actress,miscellaneous",Maryann Towne,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5600018,,,,,,,,,
1636,"actor,soundtrack",Tito Valverde,1951-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0885453,,,,,,,,,
1637,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520134,0,Adventure,1962-01-01,30,Long Live the Sultan,Long Live the Sultan,30,1,
1638,actress,Im Ye-jin,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1137050,,,,,,,,,
1639,"actor,soundtrack,miscellaneous",Hugh O'Brian,1925-01-01,2016-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0639385,,,,,,,,,
1640,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505680,0,Adventure,1960-01-01,60,The Forbidden Sea,The Forbidden Sea,25,1,
1641,"actress,miscellaneous",Paula Dehelly,1917-01-01,2008-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0214939,,,,,,,,,
1642,"actor,soundtrack,miscellaneous",Bobby Driscoll,1937-01-01,1968-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0237985,,,,,,,,,
1643,"cinematographer,camera_department,director",Manfred Ensinger,1929-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0258121,,,,,,,,,
1644,"actor,soundtrack",Raymond Bailey,1904-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0047450,,,,,,,,,
1645,costume_designer,N. Yefanova,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0947204,,,,,,,,,
1646,"actor,director",Robert Ellenstein,1923-01-01,2010-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0254006,,,,,,,,,
1647,"producer,writer,miscellaneous",Emily Whitesell,1964-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0925873,,,,,,,,,
1648,"actress,producer,soundtrack",Patricia Clarkson,1959-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0165101,,,,,,,,,
1649,"producer,assistant_director,production_manager",Peter Veverka,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0895504,,,,,,,,,
1650,,Rich Ackerman,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2789232,,,,,,,,,
1651,actor,Mark Allen,1920-01-01,2003-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0020802,,,,,,,,,
1652,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0112065,0,"Action,Adventure,Animation",1995-01-01,154,The Maxx,The Maxx,,,1995-01-01
1653,writer,Donald S. Sanford,1918-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0762556,,,,,,,,,
1654,actress,Patricia Blair,1933-01-01,2013-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0086323,,,,,,,,,
1655,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505643,0,Adventure,1961-01-01,60,Hill of Ghosts,Hill of Ghosts,30,2,
1656,actor,Frank Campanella,1919-01-01,2006-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0132100,,,,,,,,,
1657,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0739360,0,"Action,Adventure,Animation",2003-01-01,22,The Terrible Secret of Turtle Bay,The Terrible Secret of Turtle Bay,0,1,
1658,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604446,0,"Crime,Drama,Mystery",1996-01-01,,White Lies,White Lies,6,5,
1659,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0883877,0,"Animation,Comedy,Fantasy",1999-01-01,21,Competitive Spirit,Competitive Spirit,5,3,
1660,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0596828,0,Adventure,1958-01-01,30,Silent Threat,Silent Threat,20,1,
1661,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt7385140,0,Documentary,2018-01-01,88,Finding Farideh,Finding Farideh,,,
1662,"director,producer,sound_department",Barbara Kopple,1946-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0465932,,,,,,,,,
1663,"production_manager,actor,location_management",Pat Harrison,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0365795,,,,,,,,,
1664,writer,Noa Ben-Artzi,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1717668,,,,,,,,,
1665,actor,Fernando Fiore,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1160908,,,,,,,,,
1666,"actor,writer",Claes Malmberg,1961-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0540215,,,,,,,,,
1667,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630982,0,Drama,1954-01-01,30,The Count of Ten,The Count of Ten,25,1,
1668,actor,Shôsuke Tanihara,1972-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0849477,,,,,,,,,
1669,actor,Allen Jaffe,1928-01-01,1989-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0415428,,,,,,,,,
1670,"actor,writer,producer",Paul Reiser,1956-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001663,,,,,,,,,
1671,actress,Karen Bernstein,1969-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0077082,,,,,,,,,
1672,actor,Preston Hanson,1921-01-01,2008-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0361350,,,,,,,,,
1673,"writer,script_department",Edwin Blum,1906-01-01,1995-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0089637,,,,,,,,,
1674,"production_designer,art_director",Max Mellin,1904-01-01,1977-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0577972,,,,,,,,,
1675,"director,art_department,writer",John Dahl,1956-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001093,,,,,,,,,
1676,"camera_department,cinematographer",Randy Krehbiel,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1114462,,,,,,,,,
1677,"writer,miscellaneous",Cyril Hume,1900-01-01,1966-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0401738,,,,,,,,,
1678,composer,Konstantin Iliev,1924-01-01,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0407711,,,,,,,,,
1679,"actor,writer",James G. Richardson,1945-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0724600,,,,,,,,,
1680,"composer,sound_department",Gary Hickeson,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1081420,,,,,,,,,
1681,"production_designer,costume_designer",Ljiljana Pejcinovic,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0670662,,,,,,,,,
1682,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0165592,0,"Comedy,Drama",1970-01-01,75,Play for Today,Play for Today,,,1984-01-01
1683,"actor,soundtrack",Nassim Al Fakir,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2180307,,,,,,,,,
1684,actress,Dana Medrická,1920-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0575905,,,,,,,,,
1685,"actor,director,soundtrack",William Daniels,1927-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0200122,,,,,,,,,
1686,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604409,0,"Crime,Drama,Mystery",1998-01-01,,Secrets,Secrets,20,6,
1687,"actress,director,writer",Saffron Burrows,1972-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0004787,,,,,,,,,
1688,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551425,0,Comedy,2001-01-01,28,The Thong,The Thong,5,2,
1689,actress,Yesim Salkim,1968-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0758487,,,,,,,,,
1690,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630945,0,Drama,1960-01-01,30,Second Spring,Second Spring,20,7,
1691,actress,Meghan Maguire,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1935337,,,,,,,,,
1692,"writer,producer,director",Dennis Potter,1935-01-01,1994-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0693259,,,,,,,,,
1693,"animation_department,art_department,director",Tom Owens,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0654475,,,,,,,,,
1694,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2248426,0,Drama,2013-01-01,49,Chapter 9,Chapter 9,9,1,
1695,"actress,writer",Martine Bartlett,1925-01-01,2006-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0058856,,,,,,,,,
1696,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt7576194,0,Drama,2018-01-01,53,Chapter 68,Chapter 68,3,6,
1697,actor,Jaume Valls,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0885221,,,,,,,,,
1698,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0394823,0,"Action,Drama,Mystery",2002-01-01,,Too Many Clients: Part 1,Too Many Clients: Part 1,9,2,
1699,"actress,soundtrack",Chiwa Saitô,1981-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1543455,,,,,,,,,
1700,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt5808896,0,Comedy,2017-01-01,37,Foisted!,Foisted!,1,9,
1701,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604441,0,"Crime,Drama,Mystery",1995-01-01,,Thrill of the Kill,Thrill of the Kill,4,4,
1702,"actress,soundtrack",Amanda Randolph,1896-01-01,1967-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0709869,,,,,,,,,
1703,"actor,soundtrack",William Frawley,1887-01-01,1966-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0292433,,,,,,,,,
1704,actress,Dora Venter,1976-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1246128,,,,,,,,,
1705,director,Simon Delaney,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2420679,,,,,,,,,
1706,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0596823,0,Adventure,1957-01-01,30,Night Rescue,Night Rescue,10,1,
1707,"writer,production_manager,producer",Bob Barbash,1919-01-01,1995-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0053267,,,,,,,,,
1708,actress,Jessica Hann,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5498746,,,,,,,,,
1709,,Mark Thibodeaux,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3347305,,,,,,,,,
1710,"cinematographer,director,writer",Jerzy Lipman,1922-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0513512,,,,,,,,,
1711,"actor,soundtrack",Craig Stevens,1918-01-01,2000-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0301887,,,,,,,,,
1712,"actress,soundtrack",Diana Lynn,1926-01-01,1971-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0528658,,,,,,,,,
1713,actress,Erin O'Brien-Moore,1902-01-01,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0639895,,,,,,,,,
1714,"writer,producer,miscellaneous",Edward Tang,1946-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0849282,,,,,,,,,
1715,actor,David Thomas,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0858695,,,,,,,,,
1716,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630908,0,Drama,1955-01-01,30,Mink Coat,Mink Coat,30,2,
1717,actor,Oswaldo Campozana,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0133361,,,,,,,,,
1718,"editor,editorial_department",Caio Rodriguez,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7587109,,,,,,,,,
1719,"actor,soundtrack,music_department",Mel Blanc,1908-01-01,1989-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0000305,,,,,,,,,
1720,"actor,soundtrack,music_department",Phil Harris,1904-01-01,1995-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0365201,,,,,,,,,
1721,"producer,miscellaneous,director",Marek Mackovic,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1878854,,,,,,,,,
1722,"director,producer,writer",Jelle Nesna,1955-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0626456,,,,,,,,,
1723,"cinematographer,camera_department",Eddie Fitzgerald,1901-01-01,1966-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0280221,,,,,,,,,
1724,"actor,art_department",Tony Mooney,1965-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0600781,,,,,,,,,
1725,"composer,cinematographer,soundtrack",Wolfgang de Gelmini,1926-01-01,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm1298941,,,,,,,,,
1726,writer,Hans Maeter,1923-01-01,2012-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm1325870,,,,,,,,,
1727,actress,Xenia Pörtner,1932-01-01,2005-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0702536,,,,,,,,,
1728,"actor,soundtrack",Bok-rae Jo,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7109993,,,,,,,,,
1729,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0788609,0,Comedy,2005-01-01,,Breakdown,Breakdown,5,1,
1730,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604404,0,"Crime,Drama,Mystery",1996-01-01,,Prison Riot,Prison Riot,3,5,
1731,writer,John Tucker Battle,1902-01-01,1962-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0061510,,,,,,,,,
1732,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0235815,0,Documentary,1967-01-01,55,The Things I Cannot Change,The Things I Cannot Change,,,
1733,,Don Cicoletti,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2791999,,,,,,,,,
1734,"director,writer,cinematographer",Helena Lumbreras,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0525859,,,,,,,,,
1735,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551420,0,Comedy,2005-01-01,30,The Smoking Jacket,The Smoking Jacket,6,5,
1736,"director,writer,art_director",Zdenek Miler,1921-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0587036,,,,,,,,,
1737,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657709,0,"Adventure,Drama,Family",1960-01-01,30,The Raffle,The Raffle,1,1,
1738,"actor,writer,director",Peter Ustinov,1921-01-01,2004-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001811,,,,,,,,,
1739,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630940,0,Drama,1957-01-01,30,Royal Partners: Part 1,Royal Partners: Part 1,33,4,
1740,actor,Gareth Thomas,1945-01-01,2016-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0858848,,,,,,,,,
1741,,Diana Errico-Topolski,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3362153,,,,,,,,,
1742,"actor,soundtrack,miscellaneous",Buck Taylor,1938-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0852076,,,,,,,,,
1743,"actress,soundtrack",Marianna Hill,1942-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0384494,,,,,,,,,
1744,"composer,music_department,soundtrack",Peter Thomas,1925-01-01,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0003049,,,,,,,,,
1745,writer,André Maurois,1885-01-01,1967-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0561260,,,,,,,,,
1746,actor,Zoran Sruk,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3896378,,,,,,,,,
1747,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0875498,0,"Animation,Comedy,Fantasy",1993-01-01,30,Pleasant Screams,Pleasant Screams,3,1,
1748,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604386,0,"Crime,Drama,Mystery",1996-01-01,,Justice: Part 1,Justice: Part 1,13,4,
1749,actor,Robert Burton,1895-01-01,1962-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0123699,,,,,,,,,
1750,"actress,producer",Michelle Monaghan,1976-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1157358,,,,,,,,,
1751,"director,assistant_director,producer",Richard C. Bennett,1923-01-01,2016-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0071999,,,,,,,,,
1752,"director,producer,writer",Steven Clarke,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1348556,,,,,,,,,
1753,"actor,stunts,miscellaneous",Fred Graham,1908-01-01,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0334040,,,,,,,,,
1754,"actor,soundtrack",Anthony Sydes,1941-01-01,2015-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0842970,,,,,,,,,
1755,"actor,producer,writer",Paul Alexandro,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1731627,,,,,,,,,
1756,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0941540,0,Drama,1971-01-01,,Episode #1.6,Episode #1.6,6,1,
1757,"production_designer,set_decorator,art_department",Ryan Warren Smith,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1622780,,,,,,,,,
1758,"writer,art_department",Charlie Pearson,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0669217,,,,,,,,,
1759,writer,D.F. Miller,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm6489032,,,,,,,,,
1760,writer,Eustace Cockrell,1909-01-01,1972-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0168355,,,,,,,,,
1761,writer,Enid Bagnold,1889-01-01,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0046779,,,,,,,,,
1762,"actress,soundtrack",Mady Rahl,1915-01-01,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0706703,,,,,,,,,
1763,actor,Júlio Araújo,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0033301,,,,,,,,,
1764,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630903,0,Drama,1957-01-01,30,Man in a Hurry,Man in a Hurry,8,5,
1765,actor,Dale Ishimoto,1923-01-01,2004-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0411113,,,,,,,,,
1766,"writer,producer,actress",Laura Eason,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0247495,,,,,,,,,
1767,"actress,soundtrack",Estelle Winwood,1883-01-01,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0936115,,,,,,,,,
1768,"cinematographer,camera_department,director",Doug Glover,1970-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0323112,,,,,,,,,
1769,actress,Patricia Owens,1925-01-01,2000-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0654433,,,,,,,,,
1770,actor,Marc Alaimo,1942-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0015826,,,,,,,,,
1771,actor,James Congdon,1929-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0174607,,,,,,,,,
1772,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0280123,0,"Action,Animation,Comedy",2000-01-01,,SG,SG,,,2002-01-01
1773,writer,Raffaele La Capria,1922-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0478431,,,,,,,,,
1774,writer,Judy George,1932-01-01,2006-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0313487,,,,,,,,,
1775,"actor,writer,producer",Christopher Thornton,1967-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0861502,,,,,,,,,
1776,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6739316,0,Comedy,2017-01-01,35,The Pickle Gambit,The Pickle Gambit,2,9,
1777,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631047,0,Drama,1959-01-01,30,This Is the Moment,This Is the Moment,16,6,
1778,"actor,writer",Torin Thatcher,1905-01-01,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0857147,,,,,,,,,
1779,"production_manager,writer,assistant_director",Enzo Provenzale,1920-01-01,1990-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0699039,,,,,,,,,
1780,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604349,0,"Crime,Drama,Mystery",1994-01-01,60,Bop Gun,Bop Gun,1,2,
1781,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0849907,0,Reality-TV,2006-01-01,42,Coal Miner,Coal Miner,18,2,
1782,actress,Judy Marshak,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0550694,,,,,,,,,
1783,"director,cinematographer,camera_department",Jean de Segonzac,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0211523,,,,,,,,,
1784,"actor,soundtrack",Lee Min-Ho,1987-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3316279,,,,,,,,,
