id,https://www.scads.de/movieBenchmark/ontology/name,http://xmlns.com/foaf/0.1/gender,entityUrl,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/release_year,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/releaseDate,http://dbpedia.org/ontology/seasonNumber,http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/company_type,https://www.scads.de/movieBenchmark/ontology/origin_country,https://www.scads.de/movieBenchmark/ontology/known_for_department,https://www.scads.de/movieBenchmark/ontology/in_production,https://www.scads.de/movieBenchmark/ontology/last_air_date,https://www.scads.de/movieBenchmark/ontology/original_language,https://www.scads.de/movieBenchmark/ontology/languages,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://xmlns.com/foaf/0.1/homepage,http://dbpedia.org/ontology/numberOfEpisodes,http://dbpedia.org/ontology/numberOfSeasons,http://dbpedia.org/ontology/runtime,http://dbpedia.org/ontology/budget,https://www.scads.de/movieBenchmark/ontology/revenue,https://www.scads.de/movieBenchmark/ontology/production_countries,https://www.scads.de/movieBenchmark/ontology/spoken_languages,http://dbpedia.org/ontology/birthDate,https://www.scads.de/movieBenchmark/ontology/birthPlace,https://www.scads.de/movieBenchmark/ontology/tagline,https://www.scads.de/movieBenchmark/ontology/also_known_as
861,Lee Caplin,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1560960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,John Hoffman,2,https://www.scads.de/movieBenchmark/resource/TMDB/person974505,,,,,,,,,Production,,,,,,,,,,,,,,,,,,,
863,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode905071,Death Day,2012-01-01,8,2012-05-24,1,"'Fortune-teller Shitoto can guess the ''Death Date'' of any person. The victims are all former marks of Lupin III. Jigen is hired to destroy the lithograph Shitoto uses to read these fortunes. Lupin teams up with Jigen, however, Lieutenant Oscar is waiting for him.",,,,,,,,,,,,,,,,,,,,,,
864,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode970771,Seeing Things,2014-01-01,2,2014-01-19,1,"Under pressure to land a suspect in the Lange murder, Quesada warns Hart and Cohle that they might be replaced by three detectives from a new task force. The pair lobbies for extra time to follow up on a lead that takes them from a rural cathouse to an incinerated church. With his marriage to Maggie already strained by work, Hart finds respite away from home.",,,,,,,,,,,,,,,,,,,,,,
865,Sibi K Thomas,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1857598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1105983,Episode 11,2013-01-01,11,2013-11-06,1,,,,,,,,,,,,,,,,,,,,,,,
867,Kadiri Venkata Reddy,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1614278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,ITV,,https://www.scads.de/movieBenchmark/resource/TMDB/company9,,,,,,,network,GB,,,,,,,,,,,,,,,,,,,,
869,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1377999,Episode 9,1980-01-01,9,1980-05-21,1,,,,,,,,,,,,,,,,,,,,,,,
870,William Pettigrew,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1397105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1267906,Episode 7,1984-01-01,7,1984-05-15,1,,,,,,,,,,,,,,,,,,,,,,,
872,Inti Herrera,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1450247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,William Dorfman,0,https://www.scads.de/movieBenchmark/resource/TMDB/person121052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie482061,Balangiga: Howling Wilderness,2017-01-01,,2017-10-20,,"1901, Balangiga. Eight-year-old Kulas flees town with his grandfather and their carabao to escape General Smith's Kill & Burn order. He finds a toddler amid a sea of corpses and together, the two boys struggle to survive the American occupation.",,,,,,tl,,Released,History,Balangiga: Howling Wilderness,,,,120,0,0,Philippines,,,,,
875,Baek Seung-hwan,2,https://www.scads.de/movieBenchmark/resource/TMDB/person145382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Dwayne Avery,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1074103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,William Rabkin,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1218851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Roger Allam,2,https://www.scads.de/movieBenchmark/resource/TMDB/person11279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Josep Maria Pou,2,https://www.scads.de/movieBenchmark/resource/TMDB/person19909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Kenitra Ford,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1232021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1509330,Tasty Trip,2016-01-01,24,2016-09-08,1,"After seeing an advertisement for the World Food Festival, Monty wonders if there are ways other than travelling to explore the world.",,,,,,,,,,,,,,,,,,,,,,
882,Lee Jun-hyeok,2,https://www.scads.de/movieBenchmark/resource/TMDB/person566372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Mike Smriga,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2153707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1072561,Episode 9,2015-01-01,9,2015-06-03,2,,,,,,,,,,,,,,,,,,,,,,,
885,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode199021,Sheep Castrator,2008-01-01,18,2008-10-21,4,Mike helps saw down a giant concrete wall at an auto dealership in order to make way for a new wash bay. Then he heads to a sheep farm where he tries shearing and castrating a sheep and is treated to a pate of Rocky Mountain Oysters.,,,,,,,,,,,,,,,,,,,,,,
886,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694613,South American Uncle,1958-01-01,27,1958-05-04,5,,,,,,,,,,,,,,,,,,,,,,,
887,Terry-Thomas,2,https://www.scads.de/movieBenchmark/resource/TMDB/person29427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Enzo Provenzale,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1014404,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
889,Dorit Hurst,0,https://www.scads.de/movieBenchmark/resource/TMDB/person62586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Benedict Cumberbatch,2,https://www.scads.de/movieBenchmark/resource/TMDB/person71580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694423,Now a Brief Word,1956-01-01,6,1956-09-29,4,,,,,,,,,,,,,,,,,,,,,,,
892,Tony Fucile,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1260745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode565590,Mutiny,1957-01-01,13,1957-12-26,1,,,,,,,,,,,,,,,,,,,,,,,
894,Pedro Tavares,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2072931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198999,Reef Ball Maker,2007-01-01,21,2007-11-06,3,,,,,,,,,,,,,,,,,,,,,,,
896,Rudolf Jugert,2,https://www.scads.de/movieBenchmark/resource/TMDB/person36842,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
897,Tom Wolfe,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1546441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Gulay Dogan,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1603210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,MTV Animation,,https://www.scads.de/movieBenchmark/resource/TMDB/company6042,,,,,,,productionCompany,,,,,,,,,,,,,,,,,,,,,
900,Viktor Kolpakov,0,https://www.scads.de/movieBenchmark/resource/TMDB/person588065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie398278,Geratzite,1958-01-01,,1958-02-10,,"Gaffer Yordan the Gerak is a wealthy farmer with a large family. The Geraks live in harmony as long as his wife is alive. After her death, disagreement and strife erupt among them. Two of the sons, Bozhan and Peter, demand the partition of their father's real estate. The third son, Pavel, who is doing his military service in the town, has become estranged from the land and from his family. When Pavel returns home only to ask money from his father, Gaffer Yordan discovers that he has been robbed. His sons trade accusations and come to blows. Pavel goes back to his mistress in the city. Elka, Pavel's wife, falls ill with a venereal disease she has contracted from his husband. On a dark and stormy night Elka is about to drown herself in the river when the Gerak's old farmhand takes her back home. Before long, Elka dies, as does Gaffer Yordan. Bozhan fells the centenarian pine tree in the yard of the family home, which symbolized the patriarchal ways of the Geraks.",,,,,,bg,,Released,Drama,Гераците,,,,90,0,0,Bulgaria,български език,,,,
902,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie118412,Berserk: The Golden Age Arc 2 - The Battle for Doldrey,2012-01-01,,2012-06-23,,"The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war.",,,,,,ja,,Released, Animation,ベルセルク 黄金時代篇II ドルドレイ攻略,,,,98,0,0,Japan,"日本語, Italiano",,,,
903,Luc Besson,2,https://www.scads.de/movieBenchmark/resource/TMDB/person59,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
904,Nelvana Limited,,https://www.scads.de/movieBenchmark/resource/TMDB/company1023,,,,,,,productionCompany,,,,,,,,,,,,,,,,,,,,,
905,Peter Francis,0,https://www.scads.de/movieBenchmark/resource/TMDB/person10908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Nicholas Gleaves,2,https://www.scads.de/movieBenchmark/resource/TMDB/person58915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries64532,Wu Xin: The Monster Killer,2015-01-01,,2015-07-06,,"Wu Xin is an immortal who doesn't know where he was from, how long he lived, or what he is. He wanders the earth with no purpose in life and no money. During one of his destitute spells, he meets Yue Ya who gives him her last morsel of food. To repay her kindness and get more food in their stomach, he decides to capitalize his only skill set: Killing monsters. They begin a wondrous and often dangerous adventure of fighting supernatural evil, one paying customer at a time.",,CN,,true,2017-08-14,zh,zh,Returning Series,Mystery,无心法师,http://tv.sohu.com/s2015/dsjwxfs/,47,2,45,,,,,,,,
908,Claes Malmberg,2,https://www.scads.de/movieBenchmark/resource/TMDB/person79260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode869814,Steve Carell,2010-01-01,9,2010-07-26,1,'Zach sits down with Steve Carell from ''The Office'' and they quite possibly discuss ''Dinner for Schmucks''.,,,,,,,,,,,,,,,,,,,,,,
910,Zev Braun,2,https://www.scads.de/movieBenchmark/resource/TMDB/person32157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode984976,Episode 4,1964-01-01,4,1964-10-22,2,,,,,,,,,,,,,,,,,,,,,,,
912,Ingeborg von Kusserow,1,https://www.scads.de/movieBenchmark/resource/TMDB/person567809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694595,Moment of Decision,1955-01-01,6,1955-10-02,3,,,,,,,,,,,,,,,,,,,,,,,
914,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode311152,The Hat,1996-01-01,10,1996-01-19,4,"Gee is sent upstairs to see Barnfather and everyone speculates about the vacant Captain's position. Lewis and Kellerman are sent to Pennsylvania to extradite a woman back to Baltimore where she is a suspect in the murder of her husband. Munch tries to find a videotape in Brodie's pile. Later after reviewing the tape, they discover a key piece of evidence isn't contained on the tape. Munch wants the tape erased, but Brodie delivers the tape to court and that results in the outcome Munch feared. On the trip back from Harrisburg, Kellerman convinces Lewis that they have time to stop at Neptune's Castle and they lose the suspect, for a moment. Later they lose her again but find her at the house of her dead husband's mistress, delivering a hat. Much to everyone's surprise but not the viewers Gaffney is promoted to Captain over Gee. Captain Gaffney lays down the law.",,,,,,,,,,,,,,,,,,,,,,
915,Pyotr Arzhanov,0,https://www.scads.de/movieBenchmark/resource/TMDB/person479808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie286879,History & Tradition: The Story of the National Wrestling Alliance,2012-01-01,,2012-08-15,,"The National Wrestling Alliance is the oldest sanctioning and governing body in professional wrestling. The NWA World Title has the most storied history in the sport dating back to the 1900's. follow the history and Tradition of the most prestigious world title in wrestling from it's creation to the modern era of the NWA today. Learn of the great athletes who held the title, also the ones many say should never have held it, to the ones fighting to keep the heritage alive. The NWA World Title has had it's highs and lows but it's importance has never been tarnishied. Too many the NWA World Title represents a legacy that will never die. Does it still mean anything? Find out in History &amp; Tradition: The Story of the National Wrestling Alliance.",,,,,,en,,Released,Documentary,History & Tradition: The Story of the National Wrestling Alliance,,,,120,0,0,United States of America,English,,,,
917,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode495167,Paringa Rules,2007-01-01,3,2007-10-28,1,"'Achmed Aziz (Panda Likoudis), an Iraqi agronomist, arrives on a study tour and Kate (Rachel Ward) fears he will submit a report on the condition of the local sheep.Having rebuffed Jill's attempts to empathise with her, Kate then forces her to co-operate with a plan to cover up the sheep problem until the drought breaks, after which it will be irrelevant. Jill is morally and professionally challenged by this, but then finds herself defending Kate to James Campbell, a vet in a nearby town who has designs on Kate's practice (and Jill's body).Meanwhile, Achmed meets diverse characters such as the mysterious Larry Riley, a wealthy man with no known source of income, and Harry Greene (Shane Withington), the ultimate pragmatist, known locally as the Grim Reaper for his blithe exploitation of others' misfortune.After the sale of the Huppatz farm for a knock-down price reignites a feud between Tom Huppatz (Tom O'Sullivan) and local bigwig Lachlan Balfour (Kim Knuckey), Kate is furious when she discovers Jill, unable to suppress her personal and professional curiosity, has conducted laboratory tests on the diseased sheep.",,,,,,,,,,,,,,,,,,,,,,
918,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1460804,Episode 6,2018-01-01,6,2018-04-02,1,,,,,,,,,,,,,,,,,,,,,,,
919,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1112981,[69] [EP6] Sodachi Lost - Part Two,2015-01-01,5,2015-11-01,4,Araragi and Hanekawa visit Oikura and learn the painful story of her family's past.,,,,,,,,,,,,,,,,,,,,,,
920,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode933378,The Excretory System: From Your Heart to the Toilet,2012-01-01,29,2012-08-13,1,Hank takes us on the fascinating journey through our excretory system to learn how our kidneys make pee.,,,,,,,,,,,,,,,,,,,,,,
921,Valluri Balakrishna,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1661014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Vladimír Kovařík,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2205288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Joseph Stalin,0,https://www.scads.de/movieBenchmark/resource/TMDB/person994271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1708151,Episode 1,2019-01-01,1,2019-03-01,3,,,,,,,,,,,,,,,,,,,,,,,
925,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1092929,Episode 1,1972-01-01,1,1972-02-06,1,,,,,,,,,,,,,,,,,,,,,,,
926,Patricia Mort,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2049228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode389931,Bound,2010-01-01,14,2010-03-20,2,Richard is forced to protect Kahlan's greatest enemy when Kahlan is put under a life-threatening spell only her enemy can remove.,,,,,,,,,,,,,,,,,,,,,,
928,Christopher Fairbank,2,https://www.scads.de/movieBenchmark/resource/TMDB/person8399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Luna Haruna,1,https://www.scads.de/movieBenchmark/resource/TMDB/person1782568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Horst Naumann,2,https://www.scads.de/movieBenchmark/resource/TMDB/person26248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie185629,Big Breast Nurses 2,2010-01-01,,2010-02-23,,"Nurse Alanah notices her patient gets a hard on after a prostate test, so she decides to help him with that as well. After a few tests and questions, nurse Priya takes care of Tommy's erection problem. Nurse Hunter does what it takes to prevent an orderly from making a complaint after catching her masturbating while on duty. Nurse Stone is tired of working the graveyard shift, so she tries to pursuade the head doctor to change her shift. This nervous patient needs more than just a sponge bath to calm down. Nurse Von knows exactly what it takes to calm a man down.",,,,,,en,,Released,,Big Breast Nurses 2,,,,122,0,0,Canada,English,,,,
932,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1018748,And Then There Were Nine,2014-01-01,1,2014-11-04,1,"Burnie tries to throw a nice party for the Rooster Teeth staff, but it quickly spirals into an evening of riddles, blackmail… and MURDER.",,,,,,,,,,,,,,,,,,,,,,
933,Václav Voska,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1269931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Dolores Rubin,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1338894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Robin Laing,2,https://www.scads.de/movieBenchmark/resource/TMDB/person76841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Alex Mantegna,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1393194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463120,Treasure Hunt,1961-01-01,13,1961-01-09,2,,,,,,,,,,,,,,,,,,,,,,,
938,'Evil' Ted Smith,0,https://www.scads.de/movieBenchmark/resource/TMDB/person77745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode182342,The Buddy System,2008-01-01,5,2008-06-29,3,"Dr. Venture decides to raise money by running a Day Camp for Boy Adventurers. Things don't go quite as planned when a giant ape gets loose, Action Johnny loses it, Sgt. Hatred arrives for an unscheduled bush burning, Hank gets a new friend who pushes Brock's buttons, and the Monarch sends the Moppets in to spy.",,,,,,,,,,,,,,,,,,,,,,
940,Victoria Thaine,1,https://www.scads.de/movieBenchmark/resource/TMDB/person63313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Paramount,,https://www.scads.de/movieBenchmark/resource/TMDB/company4,,,,,,,productionCompany,US,,,,,,,,,,,,,,,,,,,,
942,Escola Artística Soares dos Reis,,https://www.scads.de/movieBenchmark/resource/TMDB/company91995,,,,,,,productionCompany,PT,,,,,,,,,,,,,,,,,,,,
943,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1377994,Episode 4,1980-01-01,4,1980-05-13,1,,,,,,,,,,,,,,,,,,,,,,,
944,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1789761,Episode 14,2019-01-01,14,2019-06-23,3,,,,,,,,,,,,,,,,,,,,,,,
945,Raymond Chow,2,https://www.scads.de/movieBenchmark/resource/TMDB/person46323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1267901,Episode 2,1984-01-01,2,1984-05-08,1,,,,,,,,,,,,,,,,,,,,,,,
947,Gilbert Kay,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1235596,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
948,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506568,Grandpa Returns,1961-01-01,30,1961-04-16,1,,,,,,,,,,,,,,,,,,,,,,,
949,Matt Lesko,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1887243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode548652,Episode 22,2009-01-01,22,2009-03-23,1,"The wedding ceremony finally starts and Junpyo enters in. However, Jaekyung maps out a plan and ruins the wedding. Junpyo and Jandi sneak off to the resort and spend time together. Jaekyung returns the necklace to Jihoo and leaves to New York on the next day. Jandi and Junpyo’s happy moment is about to fall apart, since the break off brings a crisis to Shinhwa group. Now Junpyo’s mother anger is towards Jandi.",,,,,,,,,,,,,,,,,,,,,,
951,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode311115,Smoke Gets in Your Eyes,1993-01-01,8,1993-03-24,1,"'''Smoke Gets in Your Eyes'' is the eighth episode of the first season of the American police drama television series Homicide: Life on the Street. It originally aired on NBC in the United States on March 24, 1993. In the episode, Howard and Bayliss attempt to quit smoking, Gee discovers secret asbestos removal in the squad room, and Munch and Bolander investigate the beating death of a 14-year-old boy. The teleplay was written by James Yoshimura based on a story by executive director Tom Fontana, and the episode was directed by Wayne Ewing, who doubled as director of photography.The episode featured a cameo appearance by film director and Baltimore native John Waters as a bartender. ''Smoke Gets in Your Eyes'' was originally supposed to be the first season finale, but the episode ''Night of the Dead Living'' was moved to the end of the season because NBC programmers felt it was too slow-paced to show any earlier in the season. During one scene, Munch and Bolander convince a suspect the copy machine is a dangerous lie-detector machine. This was inspired by a real-life trick used by the Baltimore Police Department and documented in David Simon's 1991 non-fiction book Homicide: A Year on the Killing Streets, on which the series was based. It was later used in an episode of Simon's police drama series, The Wire.",,,,,,,,,,,,,,,,,,,,,,
952,Lafayette Galvão,2,https://www.scads.de/movieBenchmark/resource/TMDB/person950532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode371556,Record Breakers,2005-01-01,2,2005-03-08,1,"'Shirley discovers his audience has psychic potential.Shirley gives the best wedding present of all to several couples before they take their vows - a graphic and scary insight into their futures.Its round two of the Spirit Academy auditions. Shirley is joined by Princess Diana and Jimi Hendrix in spirit form on the judging panel. Shirley challenges the contestants to channel the spirits of dead celebrities in order to win a place at Spirit Academy.The Paranormalists: Shirley's apprentice Colin Reynolds (Marc playing another character) entertains a group of OAP's by demonstrating his shape shifting abilities whilst swigging lager.D is for death as we continue to learn about the psychic A - Z.Shirley attempts to break a world record by seeing how many audience readings he can do in one minute.Shirley Vs The Sceptics: Shirley confronts Professor Christopher French, a sceptic of the paranormal. The meeting becomes heated and Christopher asks the crew if filming can be stopped but the",,,,,,,,,,,,,,,,,,,,,,
954,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198994,Reef Ball Maker,2007-01-01,16,2007-11-06,3,Mike rolls up his sleeves and gets dirty in order to help create an artificial underwater reef. It's a dirty job that is helping to revitalize fish and coral populations in areas that have been devastated by pollution.,,,,,,,,,,,,,,,,,,,,,,
955,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1340688,Feeling Conflicted,2017-01-01,12,2017-07-25,4,"Since Kara is having a tough time in arbitration with her wrongful termination claim, Mary Jane and Justin decide not to confess that they're seeing each other.",,,,,,,,,,,,,,,,,,,,,,
956,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode257108,Thursday,1996-01-01,3,1996-05-12,1,"Daniel Feeld is reassured that life is not imitating his script, despite the existence of a real 'Pig' Mailion.",,,,,,,,,,,,,,,,,,,,,,
957,Rajeev Ravi,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1136857,,,,,,,,,Camera,,,,,,,,,,,,,,,,,,,
958,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie402346,Padamati Sandhya Ragam,1987-01-01,,1987-01-01,,The story of an Indian girl falling in love with an American in 80s USA.,,,,,,te,,Released,Romance,పడమటి సంధ్యారాగం,,,,142,0,0,,"English, తెలుగు",,,,
959,Rudolf Hrušínský ml.,2,https://www.scads.de/movieBenchmark/resource/TMDB/person213456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Lydia Bosch,1,https://www.scads.de/movieBenchmark/resource/TMDB/person236692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode382827,皓月協助　隱瞞病情,,36,,1,,,,,,,,,,,,,,,,,,,,,,,
962,Max Perlich,2,https://www.scads.de/movieBenchmark/resource/TMDB/person7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1728519,Episode 7,2019-01-01,7,2019-01-27,1,,,,,,,,,,,,,,,,,,,,,,,
964,Monica Petit,0,https://www.scads.de/movieBenchmark/resource/TMDB/person43714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,John Meredyth Lucas,,https://www.scads.de/movieBenchmark/resource/TMDB/person15922,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
966,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie532051,Житие и вознесение Юрася Братчика,1967-01-01,,1967-02-01,,,,,,,,ru,,Released,Drama,Житие и вознесение Юрася Братчика,,,,,0,0,Soviet Union,беларуская мова,,,,
967,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode182305,The Incredible Mr. Brisby,2004-01-01,4,2004-08-28,1,"Dr. Venture is offered a job by theme park owner and cartoon magnate Roy Brisby, who won't take no for an answer in his quest for worldwide entertainment dominance. Meanwhile, the boys are given the Patty Hearst treatment by the Orange County Liberation Front, a group of militant suburbanites who want to take down Brisby's empire Brock enlists the aid of former lover and fellow superspy Molotov Cocktease to 'mount' a rescue, but she may have her own agenda.",,,,,,,,,,,,,,,,,,,,,,
968,Francisco Guglielmino,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1816806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Lionello Santi,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1314147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Planet Green,,https://www.scads.de/movieBenchmark/resource/TMDB/company828,,,,,,,network,US,,,,,,,,,,,,,,,,,,,,
971,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1221544,O.J Simpson,2016-01-01,2,2016-09-17,1,"When O.J. Simpson is charged with the murder of his ex-wife, Nicole Brown Simpson and Ron Goldman, LAPD Homicide Detective Tom Lange's investigation leads him into a world of drugs, violence and O.J. Simpson's own power.",,,,,,,,,,,,,,,,,,,,,,
972,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode496636,"Series 2, Episode 3",1991-01-01,3,1991-02-28,2,,,,,,,,,,,,,,,,,,,,,,,
973,Ian Toynton,2,https://www.scads.de/movieBenchmark/resource/TMDB/person33056,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
974,Sakina Jaffrey,1,https://www.scads.de/movieBenchmark/resource/TMDB/person34200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694590,The Pearl,1956-01-01,23,1956-02-12,3,,,,,,,,,,,,,,,,,,,,,,,
976,Else Reval,1,https://www.scads.de/movieBenchmark/resource/TMDB/person1306810,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Jiří Malásek,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1094764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
