id,venue,year,authors,title,entityUrl
698,SIGMOD Record,1997,"F�lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch�nhoff, Markus Str�ssler, Barry Eaglestone, Stefan Conrad",Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,journals/sigmod/ConradEHRSSSV97
699,SIGMOD Conference,2002,"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas",Dynamic multidimensional histograms,conf/sigmod/ThaperGIK02
700,ACM Trans. Database Syst.,1998,"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat",Inverted Files Versus Signature Files for Text Indexing,journals/tods/ZobelMR98
701,VLDB,1999,"Jaideep Srivastava, Jianzhong Li, Doron Rotem",Aggregation Algorithms for Very Large Compressed Data Warehouses,conf/vldb/LiRS99
702,VLDB J.,1998,"Nevzat Hurkan Balkir, Gultekin �zsoyoglu",Delivering Presentations from Multimedia Servers,journals/vldb/BalkirO98
703,ACM Trans. Database Syst.,1994,"A. R. Hurson, Simin H. Pakzad, M. W. Bright",Automated Resolution of Semantic Heterogeneity in Multidatabases,journals/tods/BrightHP94
704,SIGMOD Record,2001,M. Tamer �zsu,Chair's Message,journals/sigmod/Ozsu01
705,SIGMOD Record,2002,Karl Aberer,Book Review Column,journals/sigmod/Aberer02b
706,SIGMOD Record,2002,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",The Design and Performance Evaluation of Alternative XML Storage Strategies,journals/sigmod/TianDCZ02
707,ACM Trans. Database Syst.,1995,"Raghu Ramakrishnan, Yannis E. Ioannidis",Containment of Conjunctive Queries: Beyond Relations as Sets,journals/tods/IoannidisR95
708,SIGMOD Record,1995,"Margaret H. Dunham, Abdelsalam Helal",From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,journals/sigmod/DunhamH95
709,VLDB,2002,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,conf/vldb/LeeWMS02
710,SIGMOD Conference,2000,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",Turbo-charging Vertical Mining of Large Databases,conf/sigmod/ShenoyHSBBS00
711,SIGMOD Conference,1997,"Praveen Seshadri, Mark Paskin",PREDATOR: An OR-DBMS with Enhanced Data Types,conf/sigmod/SeshadriP97
712,SIGMOD Record,1996,"�zg�r Ulusoy, Alejandro P. Buchmann",Exploiting Main Memory DBMS Features to Improve Real-Time Concurrency Control Protocols,journals/sigmod/UlusoyB96
713,VLDB,2001,"Minos N. Garofalakis, Phillip B. Gibbons",Approximate Query Processing: Taming the TeraBytes,conf/vldb/GarofalakisG01
714,SIGMOD Record,2001,"Peter J. H. King, Jonathan K. Lawder",Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,journals/sigmod/LawderK01
715,SIGMOD Record,2000,Alon Y. Halevy,Theory of Answering Queries Using Views,journals/sigmod/Halevy00
716,SIGMOD Conference,2003,"David T. Liu, Devesh Parekh, Michael J. Franklin",GridDB: A Database Interface to the Grid,conf/sigmod/LiuFP03
717,VLDB,2003,"Gerome Miklau, Dan Suciu",Controlling Access to Published Data Using Cryptography,conf/vldb/MiklauS03
718,VLDB J.,2001,"Rajeev Rastogi, Minos N. Garofalakis, Kyuseok Shim, Kaushik Chakrabarti",Approximate query processing using wavelets,journals/vldb/ChakrabartiGRS01
719,SIGMOD Conference,2002,"Kevin Chen-Chuan Chang, Seung-won Hwang",Minimal probing: supporting expensive predicates for top-k queries,conf/sigmod/ChangH02
720,VLDB J.,1998,"Nelson Mendon�a Mattos, Joachim Thomas, Theo H�rder, Stefan De�loch, Bernhard Mitschang","Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues",journals/vldb/DesslochHMMT98
721,SIGMOD Record,2002,Nazih Elderini,Letter to SIGMOD Record Editor,journals/sigmod/Elderini02
722,SIGMOD Record,1994,Marianne Winslett,Progress on HPCC and NII,journals/sigmod/Winslett94
723,SIGMOD Record,1995,"Chiang Lee, Hongjun Lu, Chia-Jung Chen",An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),journals/sigmod/LeeCL95
724,VLDB,2000,"Yannis Theodoridis, Dieter Pfoser, Christian S. Jensen",Novel Approaches in Query Processing for Moving Object Trajectories,conf/vldb/PfoserJT00
725,VLDB,1999,Adam Blum,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,conf/vldb/Blum99
726,SIGMOD Record,2002,"Kenneth A. Ross, Anastassia Ailamaki, Alfred V. Aho",Reminiscences on Influential Papers,journals/sigmod/RossAA02
727,SIGMOD Conference,2002,"Jeffrey F. Naughton, Stratis Viglas",Rate-based query optimization for streaming information sources,conf/sigmod/ViglasN02
728,SIGMOD Conference,1999,Walt Kohler,EMC Information Sharing: Direct Access to MVS Data from Unix and NT,conf/sigmod/Kohler99
729,VLDB,1998,"Shaoyu Zhou, M. Seetha Lakshmi",Selectivity Estimation in Extensible Databases - A Neural Network Approach,conf/vldb/LakshmiZ98
730,SIGMOD Record,2002,Frank G. Goethals,Data Warehousing and Business Intelligence for E-Commerce - Book Review,journals/sigmod/Goethals02
731,SIGMOD Conference,2001,"Daphne Koller, Lise Getoor, Benjamin Taskar",Selectivity Estimation using Probabilistic Models,conf/sigmod/GetoorTK01
732,VLDB,1998,"G�nter Sauter, Fernando de Ferreira Rezende",Bridging Heterogeneity: Research and Practice of Database Middleware Technology,conf/vldb/RezendeS98
733,VLDB,1999,Steven J. DeRose,"What Do Those Weird XML Types Want, Anyway?",conf/vldb/DeRose99
734,SIGMOD Record,2003,"Panos K. Chrysanthis, Arkady B. Zaslavsky, Morris Sloman",Report on the 4th International Conference on Mobile Data Management,journals/sigmod/ChrysanthisSZ03
735,VLDB,2001,"Leonard Brown, Le Gruenwald",A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,conf/vldb/BrownG01
736,VLDB,2001,"Umeshwar Dayal, Ming-Chien Shan, Angela Bonifati, Fabio Casati",Warehousing Workflow Data: Challenges and Opportunities,conf/vldb/BonifatiCDS01
737,VLDB,1995,"Doron Rotem, Sridhar Seshadri, Ling Tony Chen",Declustering Databases on Heterogeneous Disk Systems,conf/vldb/ChenRS95
738,VLDB,2000,"Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen",Toward Learning Based Web Query Processing,conf/vldb/DiaoLCT00
739,SIGMOD Record,1995,"Tak W. Yan, Hector Garcia-Molina",Information Finding in a Digital Library: The Stanford Perspective,journals/sigmod/YanG95
740,VLDB J.,1998,"Kian-Lee Tan, Tat-Seng Chua, Beng Chin Ooi, Wynne Hsu",Fast Image Retrieval Using Color-Spatial Information,journals/vldb/OoiTCH98
741,SIGMOD Conference,1998,Eric A. Brewer,Delivering High Availability for Inktomi Search Engines,conf/sigmod/Brewer98
742,SIGMOD Conference,1998,"Giansalvatore Mecca, Paolo Merialdo, Alessandro Masci, Paolo Atzeni, Giuseppe Sindoni",The Araneus Web-Base Management System,conf/sigmod/MeccaAMMS98
743,SIGMOD Conference,1998,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",CURE: An Efficient Clustering Algorithm for Large Databases,conf/sigmod/GuhaRS98
744,VLDB,1997,"Kamalakar Karlapalem, Jian Yang, Qing Li",Algorithms for Materialized View Design in Data Warehousing Environment,conf/vldb/YangKL97
745,SIGMOD Conference,1998,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",Enhanced Hypertext Categorization Using Hyperlinks,conf/sigmod/ChakrabartiDI98
746,SIGMOD Conference,1996,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",LORE: A Lightweight Object REpository for Semistructured Data,conf/sigmod/QuassWGHLMNRRAUW96
747,SIGMOD Conference,2001,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",VQBD: Exploring Semistructured Data,conf/sigmod/BabyCY01
748,SIGMOD Record,2002,"Carole A. Goble, David De Roure",The Grid: An Application of the Semantic Web,journals/sigmod/GobleR02a
749,VLDB,2003,Frank Leymann,Grid and Applications (Industrial Session),conf/vldb/Leymann03
750,SIGMOD Conference,2000,"Sunita Sarawagi, Gayatri Sathe","i3: Intelligent, Interactive Investigaton of OLAP data cubes",conf/sigmod/Sarawagi00
751,SIGMOD Record,1998,"Timothy Griffin, Bharat Kumar",Algebraic Change Propagation for Semijoin and Outerjoin Queries,journals/sigmod/GriffinK98
752,VLDB J.,2000,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",Checking the Temporal Integrity of Interactive Multimedia Documents,journals/vldb/MirbelPSTV00
753,VLDB J.,2002,"Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Minos N. Garofalakis",Efficient filtering of XML documents with XPath expressions,journals/vldb/ChanFGR02
754,SIGMOD Conference,1999,"Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy","Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)",conf/sigmod/GarofalakisRRS99
755,SIGMOD Record,1995,"Dac Khoa Doan, Alistair C. Kilgour, Norman W. Paton",Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,journals/sigmod/DoanPK95
756,ACM Trans. Database Syst.,1995,Jan Chomicki,Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,journals/tods/Chomicki95
757,VLDB,2000,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",What Is the Nearest Neighbor in High Dimensional Spaces?,conf/vldb/HinneburgAK00
758,SIGMOD Conference,1998,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",DTL's DataSpot: Database Exploration as Easy as Browsing the Web,conf/sigmod/DarEGP98
759,SIGMOD Record,1996,"Taosong He, Stephen G. Eick, Kenneth C. Cox",3D Geographic Network Displays,journals/sigmod/CoxEH96
760,VLDB,1999,"Stefano Paraboschi, Piero Fraternali, Stefano Ceri","Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications",conf/vldb/CeriFP99
761,VLDB,2002,"Nikos Karayannidis, Frank Ramsak, Timos K. Sellis, Rudolf Bayer, Robert Fenk, Klaus Elhardt, Volker Markl, Roland Pieringer, Aris Tsois",Processing Star Queries on Hierarchically-Clustered Fact Tables,conf/vldb/KarayannidisTSPMRFEB02
762,SIGMOD Conference,2003,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",Winnowing: Local Algorithms for Document Fingerprinting,conf/sigmod/SchleimerWA03
763,VLDB J.,1996,"Joachim Reinert, Theo H�rder",Access Path Support for Referential Integrity in SQL2,journals/vldb/HarderR96
764,SIGMOD Record,1998,"Ada Wai-Chee Fu, King Lum Cheung",Enhanced Nearest Neighbour Search on the R-tree,journals/sigmod/CheungF98
765,SIGMOD Conference,1994,"Euthimios Panagos, Alexandros Biliris",EOS: An Extensible Object Store,conf/sigmod/BilirisP94
766,VLDB,1996,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,conf/vldb/LakshmananSS96
767,SIGMOD Conference,2001,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,conf/sigmod/DoanDH01
768,VLDB J.,1998,"Raymond T. Ng, Paul Shum",Optimal Clip Ordering for Multi-Clip Queries,journals/vldb/NgS98
769,VLDB,2000,"Fabio Casati, Ming-Chien Shan",Process Automation as the Foundation for E-Business,conf/vldb/CasatiS00
770,SIGMOD Record,1994,Jennifer Widom,Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,journals/sigmod/Widom94
771,SIGMOD Record,2003,Richard T. Snodgrass,ACM TODS in this Internet Age,journals/sigmod/Snodgrass03
772,VLDB,1998,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",Algorithms for Querying by Spatial Structure,conf/vldb/PapadiasMD98
773,SIGMOD Conference,1994,"Giuseppe Santucci, Tiziana Catarci",Query by Diagram: A Graphical Environment for Querying Databases,conf/sigmod/CatarciS94
774,VLDB,1999,"Bernhard Mitschang, Michael Jaedicke",User-Defined Table Operators: Enhancing Extensibility for ORDBMS,conf/vldb/JaedickeM99
775,SIGMOD Record,2002,Asuman Dogac,Guest Editor's Introduction,journals/sigmod/Dogac02
776,SIGMOD Conference,2003,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",XRANK: Ranked Keyword Search over XML Documents,conf/sigmod/GuoSBS03
777,SIGMOD Record,1998,Richard T. Snodgrass,Chair's Message,journals/sigmod/Snodgrass98c
778,SIGMOD Record,1997,"Rajeev Motwani, Serge Abiteboul, Svetlozar Nestorov",Infering Structure in Semistructured Data,journals/sigmod/NestorovAM97
779,VLDB,2003,"Jian Pei, Laks V. S. Lakshmanan, Yan Zhao",Efficacious Data Cube Exploration by Semantic Summarization and Compression,conf/vldb/LakshmananPZ03
780,SIGMOD Conference,1997,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",High-Performance Sorting on Networks of Workstations,conf/sigmod/Arpaci-DusseauACHP97
781,SIGMOD Record,2001,Marc H. Scholl,Transactional Information Systems - Book Review,journals/sigmod/Scholl01
782,ACM Trans. Database Syst.,1996,"Atsushi Ohori, Peter Buneman",Polymorphism and Type Inference in Database Programming,journals/tods/BunemanO96
783,VLDB,1994,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",An Effective Deductive Object-Oriented Database Through Language Integration,conf/vldb/BarjaPFWD94
784,VLDB,1999,"Kenneth A. Ross, Jun Rao",Cache Conscious Indexing for Decision-Support in Main Memory,conf/vldb/RaoR99
785,VLDB,2001,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",Analyzing Quantitative Databases: Image is Everything,conf/vldb/AmirKN01
786,SIGMOD Conference,2002,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",DBCache: database caching for web application servers,conf/sigmod/AltinelLKMPLWB02
787,ACM Trans. Database Syst.,2000,"Donald Kossmann, Konrad Stocker",Iterative dynamic programming: a new class of query optimization algorithms,journals/tods/KossmannS00
788,VLDB,1995,"Douglas Banks, Marcel Kornacker",High-Concurrency Locking in R-Trees,conf/vldb/KornackerB95
789,SIGMOD Conference,1998,"Nabil R. Adam, Yelena Yesha",Electronic Commerce: Tutorial,conf/sigmod/AdamY98
790,VLDB J.,1998,"Ahmed K. Elmagarmid, Haitao Jiang",Spatial and Temporal Content-Based Access to Hypervideo Databases,journals/vldb/JiangE98
791,VLDB,1997,"Claus Hagen, Hans-J�rg Schek, Gustavo Alonso, Markus Tresch",Distributed Processing over Stand-alone Systems and Applications,conf/vldb/AlonsoHST97
792,SIGMOD Conference,2000,"Junghoo Cho, Hector Garcia-Molina",Synchronizing a Database to Improve Freshness,conf/sigmod/ChoG00
793,VLDB,1995,Henry F. Korth,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,conf/vldb/Korth95
794,SIGMOD Conference,2000,"Christopher R. Palmer, Christos Faloutsos",Density Biased Sampling: An Improved Method for Data Mining and Clustering,conf/sigmod/PalmerF00
795,SIGMOD Record,1994,?,The TSQL2 Final Language Definition Announcement,journals/sigmod/X94
796,VLDB,2001,"Pin-Kwang Eng, Kian-Lee Tan, Beng Chin Ooi",Efficient Progressive Skyline Computation,conf/vldb/TanEO01
797,SIGMOD Record,2002,Harald Kosch,MPEG-7 and Multimedia Database Systems,journals/sigmod/Kosch02
798,VLDB,2001,"Yirong Xu, Rakesh Agrawal, Amit Somani",Storage and Querying of E-Commerce Data,conf/vldb/AgrawalSX01
799,SIGMOD Conference,1999,"Nick Roussopoulos, Yannis Kotidis",DynaMat: A Dynamic View Management System for Data Warehouses,conf/sigmod/KotidisR99
800,VLDB,2002,"Martin Strauss, S. Muthukrishnan, Yannis Kotidis, Anna C. Gilbert",How to Summarize the Universe: Dynamic Maintenance of Quantiles,conf/vldb/GilbertKMS02
801,SIGMOD Record,2002,Martin Grohe,Parameterized Complexity for the Database Theorist,journals/sigmod/Grohe02
802,SIGMOD Record,2000,Michael J. Franklin,Editor's Notes,journals/sigmod/Franklin00b
803,SIGMOD Conference,2003,Gavin M. Bierman,Formal semantics and analysis of object queries,conf/sigmod/Bierman03
804,SIGMOD Conference,1994,"Cetin Ozkan, Cem Evrendilek, Yuksel Saygin, Ilker Altintas, Ismailcem Budak Arpinar, Mehmet Altinel, Tansel Okay, Ilker Durusoy, Asuman Dogac",METU Object-Oriented DBMS,conf/sigmod/DogacAEOADAOS94
805,VLDB J.,1995,"Malcolm P. Atkinson, Ronald Morrison",Orthogonally Persistent Object Systems,journals/vldb/AtkinsonM95
806,VLDB,1997,"Marcin Skubiszewski, Patrick Valduriez",Concurrent Garbage Collection in O2,conf/vldb/SkubiszewskiV97
807,VLDB,2003,"Ioana Manolescu, Stefano Ceri","Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques",conf/vldb/CeriM03
808,SIGMOD Record,2002,"Robert Meersman, Amit P. Sheth",Guest Editor's Introduction,journals/sigmod/MeersmanS02
809,VLDB,1998,"Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon",DTL's DataSpot: Database Exploration Using Plain Language,conf/vldb/DarEGP98
810,SIGMOD Record,1998,Michael J. Franklin,Editor's Notes,journals/sigmod/Franklin98
811,VLDB,1995,"Robert Rees, Luis-Felipe Cabrera, Wayne Hineman",Applying Database Technology in the ADSM Mass Storage System,conf/vldb/CabreraRH95
812,SIGMOD Conference,2001,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",Dynamic Buffer Allocation in Video-on-Demand Systems,conf/sigmod/LeeWMS01
813,VLDB,2003,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",Holistic Twig Joins on Indexed XML Documents,conf/vldb/JiangWL03
814,VLDB,1996,Alon Y. Levy,Obtaining Complete Answers from Incomplete Databases,conf/vldb/Levy96
815,VLDB,1996,"Martin Staudt, Matthias Jarke",Incremental Maintenance of Externally Materialized Views,conf/vldb/StaudtJ96
816,SIGMOD Record,1994,"Claudia Bauzer Medeiros, Fatima Pires",Databases for GIS,journals/sigmod/MedeirosP94
817,SIGMOD Conference,1999,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",Query Optimization in the Presence of Limited Access Patterns,conf/sigmod/FlorescuLMS99
818,SIGMOD Conference,1995,"Ming-Syan Chen, Philip S. Yu, Jong Soo Park",An Effective Hash Based Algorithm for Mining Association Rules,conf/sigmod/ParkCY95
819,VLDB,2003,"Henrique Madeira, Marco Vieira",A Dependability Benchmark for OLTP Application Environments,conf/vldb/VieiraM03
820,SIGMOD Conference,2000,David B. Lomet,High Speed On-line Backup When Using Logical Log Operations,conf/sigmod/Lomet00
821,SIGMOD Record,1998,Jiawei Han,Towards On-Line Analytical Mining in Large Databases,journals/sigmod/Han98
822,VLDB,1997,"Kyoji Hirata, Yoshinori Hara, Wen-Syan Li, K. Sel�uk Candan",Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,conf/vldb/LiCHH97
823,VLDB J.,1994,"Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita","The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation",journals/vldb/DerrMP94
824,SIGMOD Conference,1997,"Nick Roussopoulos, Mema Roussopoulos, Yannis Kotidis",Cubetree: Organization of and Bulk Updates on the Data Cube,conf/sigmod/RoussopoulosKR97
825,SIGMOD Record,2002,Marianne Winslett,Interview with Avi Silberschatz,journals/sigmod/Winslett02
826,SIGMOD Record,2002,"ChengXiang Zhai, Marianne Winslett, Yuanyuan Zhou, Kevin Chen-Chuan Chang, Jiawei Han, AnHai Doan",Database Research at the University of Illinois at Urbana-Champaign,journals/sigmod/WinslettCDHZZ02
827,SIGMOD Conference,1998,"Berthold Reinwald, Hamid Pirahesh",SQL Open Heterogeneous Data Access,conf/sigmod/ReinwaldP98
828,SIGMOD Record,2002,"Carole A. Goble, Brian J. Read",Report on the 18th British National Conference on Databases (BNCOD),journals/sigmod/GobleR02
829,VLDB,1998,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",Materialized View Selection for Multidimensional Datasets,conf/vldb/ShuklaDN98
830,VLDB J.,2001,"Carlo Combi, Giuseppe Pozzi",HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,journals/vldb/CombiP01
831,VLDB,1998,"Bernhard Mitschang, Clara Nippl","TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer",conf/vldb/NipplM98
832,VLDB,2001,"Reza Sadri, Amir M. Zarkesh, Jafar Adibi, Carlo Zaniolo",A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services,conf/vldb/SadriZZA01
833,VLDB,2003,"Wolfgang Lehner, Alexander Hinneburg, Dirk Habich",COMBI-Operator: Database Support for Data Mining Applications,conf/vldb/HinneburgLH03
834,VLDB,2003,"Vipul Kashyap, Stefan Decker",The Semantic Web: Semantics for Data on the Web,conf/vldb/DeckerK03
835,SIGMOD Record,1995,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",Managing Video Data in a Mobile Environment,journals/sigmod/AlonsoCIM95
836,VLDB,1997,"Yannis E. Ioannidis, Minos N. Garofalakis",Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources,conf/vldb/GarofalakisI97
837,SIGMOD Conference,1995,Michael Freeston,A General Solution of the n-dimensional B-tree Problem,conf/sigmod/Freeston95
838,SIGMOD Conference,1995,Jim Gray,Parallel Database Systems 101,conf/sigmod/Gray95
839,VLDB,1998,"Binto George, Jayant R. Haritsa",Secure Buffering in Firm Real-Time Database Systems,conf/vldb/GeorgeH98
840,SIGMOD Record,1998,"Pinar Koksal, Sena Nural Arpinar, Asuman Dogac",Workflow History Management,journals/sigmod/KoksalAD98
841,SIGMOD Conference,1995,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",Broadcast Disks: Data Management for Asymmetric Communications Environments,conf/sigmod/AcharyaAFZ95
842,VLDB,2002,"Mayur Datar, Piotr Indyk, S. Muthukrishnan, Graham Cormode",Comparing Data Streams Using Hamming Norms (How to Zero In),conf/vldb/CormodeDIM02
843,VLDB,2000,"Masatoshi Yoshikawa, Shunsuke Uemura, Yasushi Sakurai, Haruhiko Kojima",The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation,conf/vldb/SakuraiYUK00
844,VLDB,1998,"Simonas Saltenis, Christian S. Jensen, Giedrius Slivinskas, Rasa Bliujute",R-Tree Based Indexing of Now-Relative Bitemporal Data,conf/vldb/BliujuteJSS98
845,SIGMOD Conference,2002,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",Skew handling techniques in sort-merge join,conf/sigmod/LiGS02
846,SIGMOD Conference,2000,"Hanuma Kodavalla, Nagavamsi Ponnekanti",Online Index Rebuild,conf/sigmod/PonnekantiK00
847,VLDB J.,2002,"Alexandros Nanopoulos, Yannis Manolopoulos",Efficient similarity search for market basket data,journals/vldb/NanopoulosM02
848,VLDB,2002,"Divesh Srivastava, Ting Yu, H. V. Jagadish, Laks V. S. Lakshmanan",Compressed Accessibility Map: Efficient Access Control for XML,conf/vldb/YuSLJ02
849,SIGMOD Conference,2002,"Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons",ToXgene: a template-based data generator for XML,conf/sigmod/BarbosaMKL02
850,SIGMOD Record,2002,"Zachary G. Ives, Qiong Luo",Interviewing During a Tight Job Market,journals/sigmod/LuoI02
851,VLDB,2003,"Jiawei Han, Xiaolei Li, Benjamin W. Wah, Dong Xin",Star-Cubing: Computing Iceberg Cubes by Top-Down and Bottom-Up Integration,conf/vldb/XinHLW03
852,VLDB,1999,"Thomas Zurek, Markus Sinnwell",Datawarehousing Has More Colours Than Just Black & White,conf/vldb/ZurekS99
853,VLDB J.,1994,"Marek Rusinkiewicz, Dimitrios Georgakopoulos, Witold Litwin",Chronological Scheduling of Transactions with Temporal Dependencies,journals/vldb/GeorgakopoulosRL94
854,VLDB J.,1997,"Gustav Fahl, Tore Risch",Query Processing Over Object Views of Relational Data,journals/vldb/FahlR97
855,VLDB J.,2000,"Boris Chidlovskii, Uwe M. Borghoff",Semantic Caching of Web Queries,journals/vldb/ChidlovskiiB00
856,VLDB,1999,"Curtis E. Dyreson, Michael H. B�hlen, Christian S. Jensen",Capturing and Querying Multiple Aspects of Semistructured Data,conf/vldb/DyresonBJ99
857,VLDB,2001,"Latha S. Colby, Gopal Mulagund, Richard L. Cole, Craig J. Bunker, William J. McKenna, David Wilhite",Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,conf/vldb/BunkerCCMMW01
858,VLDB,1996,"Devashish Worah, Souvik Das, Ivan Shevchenko, Amit P. Sheth, John A. Miller, Chenye Lin, Devanand Palaniswami, Krys Kochut, John Lynch",Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,conf/vldb/ShethKMWDLPLS96
859,SIGMOD Conference,2002,"Daniel J. Abadi, Mitch Cherniack",Visual COKO: a debugger for query optimizer development,conf/sigmod/AbadiC02
860,VLDB,2003,"Meikel P�ss, Dmitry Potapov",Data Compression in Oracle,conf/vldb/PossP03
861,VLDB,1994,"Munir Cochinwala, John Bradley",A Multidatabase System for Tracking and Retrieval of Financial Data,conf/vldb/CochinwalaB94
862,SIGMOD Conference,1999,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",Shrinking the Warehouse Update Window,conf/sigmod/LabioYG99
863,VLDB,1995,"Edward Omiecinski, Shamkant B. Navathe, Ashok Savasere",An Efficient Algorithm for Mining Association Rules in Large Databases,conf/vldb/SavasereON95
864,VLDB J.,2000,"Eric Simon, Esther Pacitti",Update Propagation Strategies to Improve Freshness in Lazy Master Replicated Databases,journals/vldb/PacittiS00
865,ACM Trans. Database Syst.,1999,"Tak W. Yan, Hector Garcia-Molina",The SIFT Information Dissemination System,journals/tods/YanG99
866,SIGMOD Record,2001,Daniel Barbar�,Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction,journals/sigmod/Barbara01
867,SIGMOD Conference,2003,Prabhakar Raghavan,Extracting and Exploiting Structure in Text Search,conf/sigmod/Raghavan03
868,SIGMOD Conference,2003,"Jayant R. Haritsa, Vibhuti S. Sengar",PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,conf/sigmod/SengarH03
869,SIGMOD Conference,2002,"Phillip B. Gibbons, Minos N. Garofalakis",Wavelet synopses with error guarantees,conf/sigmod/GarofalakisG02
870,SIGMOD Conference,2001,"Chen Li, Jeffrey D. Ullman, Foto N. Afrati",Generating Efficient Plans for Queries Using Views,conf/sigmod/AfratiLU01
871,SIGMOD Conference,2003,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",QC-Trees: An Efficient Summary Structure for Semantic OLAP,conf/sigmod/LakshmananPZ03
872,VLDB,2001,"Norman W. Paton, Carole A. Goble",Information Management for Genome Level Bioinformatics,conf/vldb/PatonG01
873,VLDB,2000,"Michael J. Franklin, Mehmet Altinel",Efficient Filtering of XML Documents for Selective Dissemination of Information,conf/vldb/AltinelF00
